BIDU,LULU,UL,RDS/A,RY,NVS,CP,GOLD,GIB,NGG,GOOGL,HD,WMT,VLO,JPM,JNJ,BA,DWDP,INTC,NEE,HYG ,CELG ,MNST ,VRML ,EA ,PGF ,EMB ,MDLZ ,LMT ,AMD 
-0.120790689,-0.226584086,-0.063461378,-0.031044894,-0.071592794,-0.016894886,0.000460062,0.092993171,-0.084877037,-0.008864419,0.053171834,-0.067272063,-0.051556761,0.013291589,-0.047450925,-0.034662154,-0.08287439,0.0244027,-0.055114734,0.073100434,0.003386335,-0.101432961,0.001306197,0.130758632,0.150230948,0.029543196,-0.008733395,-0.072551974,0.014537908,-0.11429239
0.091834373,0.100746118,0.072566947,0.067702718,0.05069648,0.086778641,0.036070354,0.059226059,0.066862276,0.077123458,0.028995934,0.067033934,-0.000102291,-0.056534484,0.026002732,0.048346979,0.034677002,0.069944117,0.017763559,0.001642301,0.022595273,0.057682951,0.089498676,0.27303814,0.082584445,0.018097642,0.033945644,0.038396689,0.083918549,0.081262553
-0.109417495,0.045069022,0.042401718,0.002357383,0.014356396,0.021870702,-0.040073167,-0.125372669,-0.054684251,-0.015436715,-0.083448283,-0.029873309,0.029335007,0.10646113,0.068211809,0.066076531,-0.026855647,0.004882416,0.042318659,0.046035152,-0.001058196,-0.131820762,-0.061749169,-0.132602941,0.014440451,0.016273024,0.011608648,0.019144652,0.005541744,0.080612534
0.010226305,-0.126790046,0.045665802,0.07759432,0.022049126,0.022432922,0.03667776,-0.02034069,0.166408862,0.033600238,-0.041231401,0.004652224,0.042765086,0.076497834,-0.071802117,0.031001379,0.027979731,0.02681028,0.033785074,0.044087607,0.00403895,0.052930229,-0.036003132,0.087985593,-0.024624319,0.013340725,0.010399013,0.031687916,0.005363355,0.019800125
0.077545307,-0.028497341,0.013914891,0.009955998,0.030046121,0.035693418,0.073859302,-0.075102477,-0.059245244,0.051452627,0.068550991,0.008862065,-0.031055274,-0.015411172,-0.007517444,0.008395799,0.053751725,0.044295578,0.03184107,-0.017869915,0.011820327,0.040756195,0.035962514,-0.157514272,0.241149356,0.01709534,0.034356765,0.055066067,0.004924183,-0.02219829
0.126450307,-0.09318678,0.007360596,0.047764377,0.037725022,0.005018743,0.083078834,0.13574041,0.04517419,-0.004883306,0.022576174,0.014756999,-0.022344067,-0.106355219,0.036690408,0.030945279,-0.059497597,-0.005764083,0.130839531,0.052388332,0.005895992,0.122194302,0.023581727,-0.046410721,0.020864617,0.006970154,0.000232483,0.003255609,-0.018042958,0.0473
0.15647267,-0.049827668,-0.045955981,-0.006605785,0.042508089,-0.039705363,0.048586414,-0.012071858,0.011223957,-0.004857884,-0.008807077,-0.001408696,-0.019898142,0.013922056,0.007759788,-0.04334956,-0.053103525,-0.007628702,0.096713754,-0.083871233,-0.024261744,0.014738076,-0.099598085,-0.139584884,-0.063334081,-0.006093956,-0.002557435,-0.042328649,0.038772871,-0.066875776
-0.007157394,0.038010872,0.028228243,0.0011869,0.006156518,0.033280638,0.055991686,0.019877012,-0.011502679,0.04101531,0.004772889,0.156386885,0.032541859,0.071085717,0.030789568,0.043285275,0.058440236,0.048485099,0.036955873,0.056213575,0.023614936,0.090228373,0.382194469,-0.009084709,0.126114776,0.0188243,0.012580732,0.00464669,0.049993175,0.066420464
0.017228225,0.05202496,-0.049090258,-0.059841425,-0.03803577,0.047685358,0.03579675,-0.202893824,-0.047994026,-0.03833221,0.010322563,-0.013862991,0.012781482,-0.145430071,0.013222278,0.02750538,0.004507932,-0.013885061,-0.002929888,-0.046485702,-0.019804082,-0.002591984,0.036818768,-0.186429836,-0.058998547,-0.008285378,-0.021598545,-0.049112898,0.05039357,-0.182320397
0.094120782,-0.008569488,-0.039856902,-0.05700785,0.005530205,-0.015298092,0.001012095,-0.190313879,0.017174907,0.034919462,-0.034907732,0.063004042,-0.002615505,0.082558793,0.01062407,0.011164174,-0.019390899,-0.057971114,-0.023262593,0.067532921,0.010558269,0.129879621,0.100467878,-0.106145351,0.150519417,0.012770583,0.019674087,0.029038277,0.042619443,-0.17888573
